Time(d),Data 1,Data 2,Data 3
0,1,1,1
0.01,0.7623044,0.7923044,0.7323044
0.0833,0.6103506,0.6503506,0.5703506
0.167,0.5779339,0.6179339,0.5379339
0.20833,0.5613537,0.6043537,0.5183537
0.333,0.5317116,0.5827116,0.4807116
0.67,0.4572138,0.5152138,0.3992138
1,0.4235104,0.4845104,0.3625104
5,0.3275072,0.3845072,0.2705072
10,0.1125641,0.1805641,0.0445641
